id,Projects,Research_paper,App_development
1,Small-Scale Projects,Survey Paper,Weather App
2,Medium-Scale Projects,confrence paper,Fitness App
3,Large-Scale Projects,Compare and contrast paper,Dating App
4,Medium-Scale Projects,Analytical research paper,Food App
5,Large-Scale Projects,Analytical research paper,Music App
6,Small-Scale Projects,Analytical research paper,Gaming App
7,Small-Scale Projects,Survey Paper,Weather App
8,Medium-Scale Projects,confrence paper,Fitness App
9,Large-Scale Projects,Compare and contrast paper,Dating App
10,Medium-Scale Projects,Analytical research paper,Food App
11,Large-Scale Projects,Analytical research paper,Music App
12,Small-Scale Projects,Analytical research paper,Gaming App
13,Small-Scale Projects,Survey Paper,Weather App
14,Medium-Scale Projects,confrence paper,Fitness App
15,Large-Scale Projects,Compare and contrast paper,Dating App
16,Medium-Scale Projects,Analytical research paper,Food App
17,Large-Scale Projects,Analytical research paper,Music App
18,Small-Scale Projects,Analytical research paper,Gaming App
19,Small-Scale Projects,Survey Paper,Weather App
20,Medium-Scale Projects,confrence paper,Fitness App
21,Large-Scale Projects,Compare and contrast paper,Dating App
22,Medium-Scale Projects,Analytical research paper,Food App
23,Large-Scale Projects,Analytical research paper,Music App
24,Small-Scale Projects,Analytical research paper,Gaming App
25,Small-Scale Projects,Survey Paper,Weather App
26,Medium-Scale Projects,confrence paper,Fitness App
27,Large-Scale Projects,Compare and contrast paper,Dating App
28,Medium-Scale Projects,Analytical research paper,Food App
29,Large-Scale Projects,Analytical research paper,Music App
30,Small-Scale Projects,Analytical research paper,Gaming App
31,Small-Scale Projects,Survey Paper,Weather App
32,Medium-Scale Projects,confrence paper,Fitness App
33,Large-Scale Projects,Compare and contrast paper,Dating App
34,Medium-Scale Projects,Analytical research paper,Food App
35,Large-Scale Projects,Analytical research paper,Music App
36,Small-Scale Projects,Analytical research paper,Gaming App
37,Small-Scale Projects,Survey Paper,Weather App
38,Medium-Scale Projects,confrence paper,Fitness App
39,Large-Scale Projects,Compare and contrast paper,Dating App
40,Medium-Scale Projects,Analytical research paper,Food App
41,Large-Scale Projects,Analytical research paper,Music App
42,Small-Scale Projects,Analytical research paper,Gaming App
43,Small-Scale Projects,Survey Paper,Weather App
44,Medium-Scale Projects,confrence paper,Fitness App
45,Large-Scale Projects,Compare and contrast paper,Dating App
46,Medium-Scale Projects,Analytical research paper,Food App
47,Large-Scale Projects,Analytical research paper,Music App
48,Small-Scale Projects,Analytical research paper,Gaming App
49,Small-Scale Projects,Survey Paper,Weather App
50,Medium-Scale Projects,confrence paper,Fitness App
51,Large-Scale Projects,Compare and contrast paper,Dating App
52,Medium-Scale Projects,Analytical research paper,Food App
53,Large-Scale Projects,Analytical research paper,Music App
54,Small-Scale Projects,Analytical research paper,Gaming App
55,Small-Scale Projects,Survey Paper,Weather App
56,Medium-Scale Projects,confrence paper,Fitness App
57,Large-Scale Projects,Compare and contrast paper,Dating App
58,Medium-Scale Projects,Analytical research paper,Food App
59,Large-Scale Projects,Analytical research paper,Music App
60,Small-Scale Projects,Analytical research paper,Gaming App
61,Small-Scale Projects,Survey Paper,Weather App
62,Medium-Scale Projects,confrence paper,Fitness App
63,Large-Scale Projects,Compare and contrast paper,Dating App
64,Medium-Scale Projects,Analytical research paper,Food App
65,Large-Scale Projects,Analytical research paper,Music App
66,Small-Scale Projects,Analytical research paper,Gaming App
67,Small-Scale Projects,Survey Paper,Weather App
68,Medium-Scale Projects,confrence paper,Fitness App
69,Large-Scale Projects,Compare and contrast paper,Dating App
70,Medium-Scale Projects,Analytical research paper,Food App
71,Large-Scale Projects,Analytical research paper,Music App
72,Small-Scale Projects,Analytical research paper,Gaming App
73,Small-Scale Projects,Survey Paper,Weather App
74,Medium-Scale Projects,confrence paper,Fitness App
75,Large-Scale Projects,Compare and contrast paper,Dating App
76,Medium-Scale Projects,Analytical research paper,Food App
77,Large-Scale Projects,Analytical research paper,Music App
78,Small-Scale Projects,Analytical research paper,Gaming App
79,Small-Scale Projects,Survey Paper,Weather App
80,Medium-Scale Projects,confrence paper,Fitness App
81,Large-Scale Projects,Compare and contrast paper,Dating App
82,Medium-Scale Projects,Analytical research paper,Food App
83,Large-Scale Projects,Analytical research paper,Music App
84,Small-Scale Projects,Analytical research paper,Gaming App
85,Small-Scale Projects,Survey Paper,Weather App
86,Medium-Scale Projects,confrence paper,Fitness App
87,Large-Scale Projects,Compare and contrast paper,Dating App
88,Medium-Scale Projects,Analytical research paper,Food App
89,Large-Scale Projects,Analytical research paper,Music App
90,Small-Scale Projects,Analytical research paper,Gaming App
91,Small-Scale Projects,Survey Paper,Weather App
92,Medium-Scale Projects,confrence paper,Fitness App
93,Large-Scale Projects,Compare and contrast paper,Dating App
94,Medium-Scale Projects,Analytical research paper,Food App
95,Large-Scale Projects,Analytical research paper,Music App
96,Small-Scale Projects,Analytical research paper,Gaming App
97,Small-Scale Projects,Survey Paper,Weather App
98,Medium-Scale Projects,confrence paper,Fitness App
99,Large-Scale Projects,Compare and contrast paper,Dating App
100,Medium-Scale Projects,Analytical research paper,Food App
101,Large-Scale Projects,Analytical research paper,Music App
102,Small-Scale Projects,Analytical research paper,Gaming App
103,Small-Scale Projects,Survey Paper,Weather App
104,Medium-Scale Projects,confrence paper,Fitness App
105,Large-Scale Projects,Compare and contrast paper,Dating App
106,Medium-Scale Projects,Analytical research paper,Food App
107,Large-Scale Projects,Analytical research paper,Music App
108,Small-Scale Projects,Analytical research paper,Gaming App
109,Small-Scale Projects,Survey Paper,Weather App
110,Medium-Scale Projects,confrence paper,Fitness App
111,Large-Scale Projects,Compare and contrast paper,Dating App
112,Medium-Scale Projects,Analytical research paper,Food App
113,Large-Scale Projects,Analytical research paper,Music App
114,Small-Scale Projects,Analytical research paper,Gaming App
115,Small-Scale Projects,Survey Paper,Weather App
116,Medium-Scale Projects,confrence paper,Fitness App
117,Large-Scale Projects,Compare and contrast paper,Dating App
118,Medium-Scale Projects,Analytical research paper,Food App
119,Large-Scale Projects,Analytical research paper,Music App
120,Small-Scale Projects,Analytical research paper,Gaming App
121,Small-Scale Projects,Survey Paper,Weather App
122,Medium-Scale Projects,confrence paper,Fitness App
123,Large-Scale Projects,Compare and contrast paper,Dating App
124,Medium-Scale Projects,Analytical research paper,Food App
125,Large-Scale Projects,Analytical research paper,Music App
126,Small-Scale Projects,Analytical research paper,Gaming App
127,Small-Scale Projects,Survey Paper,Weather App
128,Medium-Scale Projects,confrence paper,Fitness App
129,Large-Scale Projects,Compare and contrast paper,Dating App
130,Medium-Scale Projects,Analytical research paper,Food App
131,Large-Scale Projects,Analytical research paper,Music App
132,Small-Scale Projects,Analytical research paper,Gaming App
133,Small-Scale Projects,Survey Paper,Weather App
134,Medium-Scale Projects,confrence paper,Fitness App
135,Large-Scale Projects,Compare and contrast paper,Dating App
136,Medium-Scale Projects,Analytical research paper,Food App
137,Large-Scale Projects,Analytical research paper,Music App
138,Small-Scale Projects,Analytical research paper,Gaming App
139,Small-Scale Projects,Survey Paper,Weather App
140,Medium-Scale Projects,confrence paper,Fitness App
141,Large-Scale Projects,Compare and contrast paper,Dating App
142,Medium-Scale Projects,Analytical research paper,Food App
143,Large-Scale Projects,Analytical research paper,Music App
144,Small-Scale Projects,Analytical research paper,Gaming App
145,Small-Scale Projects,Survey Paper,Weather App
146,Medium-Scale Projects,confrence paper,Fitness App
147,Large-Scale Projects,Compare and contrast paper,Dating App
148,Medium-Scale Projects,Analytical research paper,Food App
149,Large-Scale Projects,Analytical research paper,Music App
150,Small-Scale Projects,Analytical research paper,Gaming App
151,Small-Scale Projects,Survey Paper,Weather App
152,Medium-Scale Projects,confrence paper,Fitness App
153,Large-Scale Projects,Compare and contrast paper,Dating App
154,Medium-Scale Projects,Analytical research paper,Food App
155,Large-Scale Projects,Analytical research paper,Music App
156,Small-Scale Projects,Analytical research paper,Gaming App
157,Small-Scale Projects,Survey Paper,Weather App
158,Medium-Scale Projects,confrence paper,Fitness App
159,Large-Scale Projects,Compare and contrast paper,Dating App
160,Medium-Scale Projects,Analytical research paper,Food App
161,Large-Scale Projects,Analytical research paper,Music App
162,Small-Scale Projects,Analytical research paper,Gaming App
163,Small-Scale Projects,Survey Paper,Weather App
164,Medium-Scale Projects,confrence paper,Fitness App
165,Large-Scale Projects,Compare and contrast paper,Dating App
166,Medium-Scale Projects,Analytical research paper,Food App
167,Large-Scale Projects,Analytical research paper,Music App
168,Small-Scale Projects,Analytical research paper,Gaming App
169,Small-Scale Projects,Survey Paper,Weather App
170,Medium-Scale Projects,confrence paper,Fitness App
171,Large-Scale Projects,Compare and contrast paper,Dating App
172,Medium-Scale Projects,Analytical research paper,Food App
173,Large-Scale Projects,Analytical research paper,Music App
174,Small-Scale Projects,Analytical research paper,Gaming App
175,Small-Scale Projects,Survey Paper,Weather App
176,Medium-Scale Projects,confrence paper,Fitness App
177,Large-Scale Projects,Compare and contrast paper,Dating App
178,Medium-Scale Projects,Analytical research paper,Food App
179,Large-Scale Projects,Analytical research paper,Music App
180,Small-Scale Projects,Analytical research paper,Gaming App
181,Small-Scale Projects,Survey Paper,Weather App
182,Medium-Scale Projects,confrence paper,Fitness App
183,Large-Scale Projects,Compare and contrast paper,Dating App
184,Medium-Scale Projects,Analytical research paper,Food App
185,Large-Scale Projects,Analytical research paper,Music App
186,Small-Scale Projects,Analytical research paper,Gaming App
187,Small-Scale Projects,Survey Paper,Weather App
188,Medium-Scale Projects,confrence paper,Fitness App
189,Large-Scale Projects,Compare and contrast paper,Dating App
190,Medium-Scale Projects,Analytical research paper,Food App
191,Large-Scale Projects,Analytical research paper,Music App
192,Small-Scale Projects,Analytical research paper,Gaming App
193,Small-Scale Projects,Survey Paper,Weather App
194,Medium-Scale Projects,confrence paper,Fitness App
195,Large-Scale Projects,Compare and contrast paper,Dating App
196,Medium-Scale Projects,Analytical research paper,Food App
197,Large-Scale Projects,Analytical research paper,Music App
198,Small-Scale Projects,Analytical research paper,Gaming App
199,Small-Scale Projects,Survey Paper,Weather App
200,Medium-Scale Projects,confrence paper,Fitness App
